trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,energy,land,material,water,CO2_total,Water_total,Employment_total,Energy_total,Land_total,impact_intensity
16499,2019,US,US,REALE,INLAN,3.73,22209199.59,2.0,1.0,0.0,0.0,22209199.59,0.0,0.0,0.0,0.0,0.0,0.0,22209199.59,0.0,5954209.005362
2959,2019,US,US,CHEM1,WOOD1,5.2,22094612.631,1.0,1.0,0.0,0.0,22094612.631,0.0,0.0,0.0,0.0,0.0,0.0,22094612.631,0.0,4248963.9675
16453,2019,US,US,REALE,COKIN,3.67,21845923.966,2.0,1.0,0.0,0.0,21845923.966,0.0,0.0,0.0,0.0,0.0,0.0,21845923.966,0.0,5952567.838147
1912,2019,US,US,BITUM,GLASS,89.81,21771190.652,1.0,1.0,0.0,0.0,0.0,0.0,21771190.652,0.0,0.0,0.0,0.0,0.0,0.0,242413.880993
10232,2019,US,US,KEROS,RESEA,7.34,21642263.854,1.0,1.0,0.0,0.0,21642263.854,0.0,0.0,0.0,0.0,0.0,0.0,21642263.854,0.0,2948537.309809
20670,2019,US,US,WHEAT,RESEA,72.92,21588485.822,2.0,2.0,0.0,0.0,0.0,11034608.547,0.0,10553877.275,0.0,0.0,0.0,0.0,11034608.547,296057.128662
2667,2019,US,US,CEREA,ADDIT,20.85,21396120.99,5.0,4.0,0.0,0.0,0.0,10168155.954,7503482.73,3724482.307,0.0,382311.993,0.0,0.0,10168155.954,1026192.853237
2923,2019,US,US,CHEM1,RAILW,5.03,21393525.997,1.0,1.0,0.0,0.0,21393525.997,0.0,0.0,0.0,0.0,0.0,0.0,21393525.997,0.0,4253186.082903
5410,2019,US,US,ELEC3,ELEC1,1.14,21309727.763,3.0,2.0,0.0,0.0,21277076.548,0.0,0.0,32651.215,0.0,32651.215,0.0,21277076.548,0.0,18692743.651754
5477,2019,US,US,ELEC3,PAPE3,1.13,21228595.397,3.0,2.0,0.0,0.0,21196068.495,0.0,0.0,32526.902,0.0,32526.902,0.0,21196068.495,0.0,18786367.607965
2706,2019,US,US,CEREA,FISHF,20.4,20934778.021,5.0,4.0,0.0,0.0,0.0,9948910.266,7341692.702,3644175.052,0.0,374068.585,0.0,0.0,9948910.266,1026214.608873
