trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,material,water,CO2_total,Water_total,Employment_total,impact_intensity
3510,2022,CN,CN,ELEC1,MOTO1,5371.88,2.7892677553642468e+16,2.0,2.0,2.7892676622775496e+16,0.0,0.0,930866970.589,2.7892676622775496e+16,930866970.589,0.0,5192349336478.563
12278,2022,CN,CN,RUBBE,RUBBE,106742.27,2.788135225281234e+16,3.0,3.0,2.788134912940073e+16,3123411610.796,0.0,0.0,2.788134912940073e+16,0.0,3123411610.796,261202541905.9604
3551,2022,CN,CN,ELEC1,RUBBE,5153.7,2.6759766587028544e+16,2.0,2.0,2.67597656939704e+16,0.0,0.0,893058144.333,2.67597656939704e+16,893058144.333,0.0,5192340762370.441
3527,2022,CN,CN,ELEC1,PFERT,4936.07,2.5629787942421188e+16,2.0,2.0,2.562978708707401e+16,0.0,0.0,855347178.948,2.562978708707401e+16,855347178.948,0.0,5192346936413.218
3458,2022,CN,CN,ELEC1,CERAM,4885.78,2.53686415801352e+16,2.0,2.0,2.5368640733503304e+16,0.0,0.0,846631897.933,2.5368640733503304e+16,846631897.933,0.0,5192342180805.357
12238,2022,CN,CN,RUBBE,MOTO1,92590.78,2.4184947487554916e+16,3.0,3.0,2.4184944778233464e+16,2709321452.711,0.0,0.0,2.4184944778233464e+16,0.0,2709321452.711,261202546166.63684
3457,2022,CN,CN,ELEC1,CEMEN,4552.66,2.3639005228378884e+16,2.0,2.0,2.3639004439470428e+16,0.0,0.0,788908456.077,2.3639004439470428e+16,788908456.077,0.0,5192350236648.22
3452,2022,CN,CN,ELEC1,BITUM,4461.37,2.316499182706624e+16,2.0,2.0,2.316499105397711e+16,0.0,0.0,773089127.938,2.316499105397711e+16,773089127.938,0.0,5192349396500.681
7085,2022,CN,CN,LANDT,CONST,138508.17,2.233346332256955e+16,2.0,2.0,2.233346020307776e+16,3119491791.11,0.0,0.0,2.233346020307776e+16,0.0,3119491791.11,161242931175.60898
3488,2022,CN,CN,ELEC1,GLASS,4125.65,2.1421810679584976e+16,2.0,2.0,2.1421809964671324e+16,0.0,0.0,714913653.359,2.1421809964671324e+16,714913653.359,0.0,5192348037178.379
3473,2022,CN,CN,ELEC1,EDUCA,4025.43,2.0901401599261372e+16,2.0,2.0,2.0901400901715416e+16,0.0,0.0,697545954.502,2.0901400901715416e+16,697545954.502,0.0,5192340097644.568
4633,2022,CN,CN,FABRI,CONST,296558.76,1.9062121156764236e+16,2.0,2.0,1.906211353395857e+16,0.0,0.0,7622805668.947,1.906211353395857e+16,7622805668.947,0.0,64277720734.88652
5569,2022,CN,CN,FURNI,FURNI,89138.8,1.801769631777517e+16,1.0,1.0,1.801769631777517e+16,0.0,0.0,0.0,1.801769631777517e+16,0.0,0.0,202130792850.87042
1232,2022,CN,CN,BITUM,ELEC1,222990.85,1.7219689979991992e+16,2.0,2.0,1.7218979182655982e+16,0.0,710797336010.075,0.0,1.7218979182655982e+16,0.0,0.0,77221509223.32462
3514,2022,CN,CN,ELEC1,NATUR,3119.58,1.6197933079134306e+16,2.0,2.0,1.619793253855799e+16,0.0,0.0,540576316.712,1.619793253855799e+16,540576316.712,0.0,5192344187081.052
3543,2022,CN,CN,ELEC1,REALE,3113.82,1.6168020649910662e+16,2.0,2.0,1.6168020110332618e+16,0.0,0.0,539578044.233,1.6168020110332618e+16,539578044.233,0.0,5192342733334.187
7102,2022,CN,CN,LANDT,FISH5,100145.77,1.614779827577731e+16,2.0,2.0,1.614779602028637e+16,2255490939.235,0.0,0.0,1.614779602028637e+16,0.0,2255490939.235,161242938925.7011
3530,2022,CN,CN,ELEC1,PLAST,2974.73,1.5445847406690734e+16,2.0,2.0,1.5445846891213898e+16,0.0,0.0,515476836.385,1.5445846891213898e+16,515476836.385,0.0,5192352719974.833
3517,2022,CN,CN,ELEC1,NONF1,2904.87,1.5083102814458932e+16,2.0,2.0,1.5083102311088032e+16,0.0,0.0,503370900.731,1.5083102311088032e+16,503370900.731,0.0,5192350368332.811
3489,2022,CN,CN,ELEC1,HEALT,2878.15,1.494434436346283e+16,2.0,2.0,1.4944343864722738e+16,0.0,0.0,498740091.851,1.4944343864722738e+16,498740091.851,0.0,5192343819280.729
778,2022,CN,CN,BASIC,RADIO,9003.95,1.44567043601825e+16,6.0,6.0,1.445670339530089e+16,285300025.334,0.0,679581584.912,1.3934078748805144e+16,679581584.912,285300025.334,1605595806305.288
