trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,energy,land,material,water,CO2_total,Water_total,Energy_total,Land_total,impact_intensity
17334,2019,RU,RU,REALE,SALEM,1282.9,136175305292326.1,1.0,1.0,136175305292326.1,0.0,0.0,0.0,0.0,136175305292326.1,0.0,0.0,0.0,106146469165.42683
1116,2019,RU,RU,BASIC,MOTOR,762.64,135837668863042.03,2.0,2.0,135835326807394.9,2342055647.118,0.0,0.0,0.0,135835326807394.9,0.0,2342055647.118,0.0,178115059350.46945
1055,2019,RU,RU,BASIC,CRUDE,705.98,125744488711840.69,2.0,2.0,125742320678537.8,2168033302.886,0.0,0.0,0.0,125742320678537.8,0.0,2168033302.886,0.0,178113386656.62015
1154,2019,RU,RU,BASIC,RAILW,688.21,122580359702311.9,2.0,2.0,122578246223583.44,2113478728.467,0.0,0.0,0.0,122578246223583.44,0.0,2113478728.467,0.0,178114761050.1328
5464,2019,RU,RU,ELEC2,HEALT,399.8,121631150147671.08,5.0,3.0,121623521920702.86,7620920009.883,0.0,0.0,7306958.337,121623521920702.86,7306958.337,7620920009.883,0.0,304229990364.35986
17326,2019,RU,RU,REALE,RECRE,1122.35,119132671169033.48,1.0,1.0,119132671169033.48,0.0,0.0,0.0,0.0,119132671169033.48,0.0,0.0,0.0,106145739893.11133
5552,2019,RU,RU,ELEC2,TRAN1,383.96,116812828046683.19,5.0,3.0,116805502005911.08,7319023273.16,0.0,0.0,7017498.944,116805502005911.08,7017498.944,7319023273.16,0.0,304231763846.97156
5402,2019,RU,RU,ELEC2,BASIC,383.51,116674192446817.34,5.0,3.0,116666875100724.36,7310336922.535,0.0,0.0,7009170.448,116666875100724.36,7009170.448,7310336922.535,0.0,304227249476.7212
22188,2019,RU,RU,WOODW,AIRTR,2468.58,113574805146495.38,1.0,1.0,113574805146495.38,0.0,0.0,0.0,0.0,113574805146495.38,0.0,0.0,0.0,46008152519.46276
1044,2019,RU,RU,BASIC,CHEMI,617.37,109963227923535.22,2.0,2.0,109961331984057.69,1895939477.534,0.0,0.0,0.0,109961331984057.69,0.0,1895939477.534,0.0,178115599921.498
