trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,land,material,water,CO2_total,Water_total,Land_total,Employment_people_total,impact_intensity
3137,2021,US,US,CONST,REALE,224692.84,2.843045535543037e+16,2.0,2.0,2.8430453563394584e+16,1792035783.958,0.0,0.0,0.0,2.8430453563394584e+16,0.0,0.0,1792035783958.318,126530312917.09326
3515,2021,US,US,CRUDE,MOTOR,197950.32,2.5081471604900396e+16,2.0,2.0,2.5081362371284436e+16,0.0,0.0,109233615960.873,0.0,2.5081362371284436e+16,0.0,0.0,0.0,126705890674.49042
3462,2021,US,US,CRUDE,CRUDE,100937.97,1.2789435535303634e+16,2.0,2.0,1.2789379835370566e+16,0.0,0.0,55699933067.195,0.0,1.2789379835370566e+16,0.0,0.0,0.0,126705892096.93472
3486,2021,US,US,CRUDE,GASDI,98639.65,1.2498224460948504e+16,2.0,2.0,1.2498170029283868e+16,0.0,0.0,54431664635.392,0.0,1.2498170029283868e+16,0.0,0.0,0.0,126705888159.05678
3453,2021,US,US,CRUDE,CHEM1,87651.49,1.110596068354082e+16,2.0,2.0,1.1105912315396268e+16,0.0,0.0,48368144552.787,0.0,1.1105912315396268e+16,0.0,0.0,0.0,126705897224.80267
4709,2021,US,US,ELEC2,REALE,13600.04,8984527789281302.0,1.0,1.0,8984527789281302.0,0.0,0.0,0.0,0.0,8984527789281302.0,0.0,0.0,0.0,660625100314.5066
6246,2021,US,US,FINAN,REALE,170685.04,7026577748871337.0,1.0,1.0,7026577748871337.0,0.0,0.0,0.0,0.0,7026577748871337.0,0.0,0.0,0.0,41166922120.83342
3132,2021,US,US,CONST,PUBLI,47279.01,5982228285505046.0,2.0,2.0,5982227908431691.0,377073353.958,0.0,0.0,0.0,5982227908431691.0,0.0,0.0,377073353958.258,126530320442.51869
7935,2021,US,US,HEALT,HEALT,60899.83,5898841531614235.0,2.0,2.0,5898840759258902.0,772355333.417,0.0,0.0,0.0,5898840759258902.0,0.0,0.0,772355333417.231,96861379278.30397
15660,2021,US,US,RESEA,RESEA,129207.44,5760044153587152.0,1.0,1.0,5760044153587152.0,0.0,0.0,0.0,0.0,5760044153587152.0,0.0,0.0,0.0,44579817954.656105
6168,2021,US,US,FINAN,FINAN,131879.35,5429066765710672.0,1.0,1.0,5429066765710672.0,0.0,0.0,0.0,0.0,5429066765710672.0,0.0,0.0,0.0,41166920869.04183
3518,2021,US,US,CRUDE,NATUR,42167.27,5342841191824862.0,2.0,2.0,5342817922940481.0,0.0,0.0,23268884381.318,0.0,5342817922940481.0,0.0,0.0,0.0,126705883302.97083
6188,2021,US,US,FINAN,INSUR,121405.39,4997886335031465.0,1.0,1.0,4997886335031465.0,0.0,0.0,0.0,0.0,4997886335031465.0,0.0,0.0,0.0,41166922943.30149
4553,2021,US,US,ELEC1,REALE,5883.64,4978182586084700.0,2.0,2.0,4978182387212256.0,0.0,0.0,0.0,198872444.267,4978182387212256.0,198872444.267,0.0,0.0,846105911660.9275
3498,2021,US,US,CRUDE,KEROS,38405.44,4866195993816321.0,2.0,2.0,4866174800794127.0,0.0,0.0,21193022193.922,0.0,4866174800794127.0,0.0,0.0,0.0,126705904002.56631
13874,2021,US,US,PLAST,RUBBE,68928.33,2927112952257093.0,1.0,1.0,2927112952257093.0,0.0,0.0,0.0,0.0,2927112952257093.0,0.0,0.0,0.0,42466036131.40045
11157,2021,US,US,MOTOR,EDUCA,40076.67,2843648777950965.0,1.0,1.0,2843648777950965.0,0.0,0.0,0.0,0.0,2843648777950965.0,0.0,0.0,0.0,70955216038.43246
3558,2021,US,US,CRUDE,RUBBE,21344.81,2704513076374877.0,2.0,2.0,2704501297809911.0,0.0,0.0,11778564966.187,0.0,2704501297809911.0,0.0,0.0,0.0,126705886647.6149
4714,2021,US,US,ELEC2,RETA1,3627.45,2396381463451286.5,1.0,1.0,2396381463451286.5,0.0,0.0,0.0,0.0,2396381463451286.5,0.0,0.0,0.0,660624257660.6946
13029,2021,US,US,PAPER,FOOD5,20497.86,2358148020200553.0,1.0,1.0,2358148020200553.0,0.0,0.0,0.0,0.0,2358148020200553.0,0.0,0.0,0.0,115043620173.05968
13079,2021,US,US,PAPER,PAPER,19826.13,2280869246500869.0,1.0,1.0,2280869246500869.0,0.0,0.0,0.0,0.0,2280869246500869.0,0.0,0.0,0.0,115043593807.81166
3539,2021,US,US,CRUDE,PLAST,17998.45,2280509736419206.5,2.0,2.0,2280499804453145.5,0.0,0.0,9931966061.129,0.0,2280499804453145.5,0.0,0.0,0.0,126705896142.1237
11243,2021,US,US,MOTOR,PUBLI,32098.68,2277568959300992.5,1.0,1.0,2277568959300992.5,0.0,0.0,0.0,0.0,2277568959300992.5,0.0,0.0,0.0,70955221812.89052
3443,2021,US,US,CRUDE,BIOGA,17590.77,2228854525250623.0,2.0,2.0,2228844818250847.2,0.0,0.0,9706999775.735,0.0,2228844818250847.2,0.0,0.0,0.0,126705910272.866
13037,2021,US,US,PAPER,HEALT,19150.95,2203193743936904.8,1.0,1.0,2203193743936904.8,0.0,0.0,0.0,0.0,2203193743936904.8,0.0,0.0,0.0,115043574545.22644
269,2021,US,US,AIRTR,REALE,10912.04,2192743309548868.0,1.0,1.0,2192743309548868.0,0.0,0.0,0.0,0.0,2192743309548868.0,0.0,0.0,0.0,200947147329.81805
19396,2021,US,US,WOODW,CONST,31074.88,2160562963994116.5,1.0,1.0,2160562963994116.5,0.0,0.0,0.0,0.0,2160562963994116.5,0.0,0.0,0.0,69527636598.89005
4050,2021,US,US,EDUCA,EDUCA,18071.24,2138400025401291.5,2.0,2.0,2138399879872083.2,145529208.252,0.0,0.0,0.0,2138399879872083.2,0.0,0.0,145529208252.324,118331670953.47588
6182,2021,US,US,FINAN,HEALT,51666.97,2126970171262168.8,1.0,1.0,2126970171262168.8,0.0,0.0,0.0,0.0,2126970171262168.8,0.0,0.0,0.0,41166922915.39776
3503,2021,US,US,CRUDE,LIQUE,16406.16,2078757260110324.2,2.0,2.0,2078748206806921.5,0.0,0.0,9053303402.756,0.0,2078748206806921.5,0.0,0.0,0.0,126705899498.1351
4649,2021,US,US,ELEC2,HOTEL,3051.63,2015984881104341.2,1.0,1.0,2015984881104341.2,0.0,0.0,0.0,0.0,2015984881104341.2,0.0,0.0,0.0,660625593897.1439
3047,2021,US,US,CONST,EDUCA,14073.58,1780734701554255.5,2.0,2.0,1780734589310527.2,112243728.32,0.0,0.0,0.0,1780734589310527.2,0.0,0.0,112243728319.745,126530328569.8632
13008,2021,US,US,PAPER,EDUCA,15382.59,1769667922050152.8,1.0,1.0,1769667922050152.8,0.0,0.0,0.0,0.0,1769667922050152.8,0.0,0.0,0.0,115043560417.98895
19521,2021,US,US,WOODW,WOODW,24274.46,1687746302011824.5,1.0,1.0,1687746302011824.5,0.0,0.0,0.0,0.0,1687746302011824.5,0.0,0.0,0.0,69527655898.90875
2459,2021,US,US,CHEM1,HEALT,31641.89,1668917298779164.8,2.0,2.0,1668916593418082.8,0.0,0.0,0.0,705361081.928,1668916593418082.8,705361081.928,0.0,0.0,52743919493.404625
4558,2021,US,US,ELEC1,RETA1,1826.32,1545259717009303.0,2.0,2.0,1545259655278024.2,0.0,0.0,0.0,61731278.762,1545259655278024.2,61731278.762,0.0,0.0,846105675352.2401
6133,2021,US,US,FINAN,BUSIN,36293.51,1494092256968919.8,1.0,1.0,1494092256968919.8,0.0,0.0,0.0,0.0,1494092256968919.8,0.0,0.0,0.0,41166926455.14087
7657,2021,US,US,GASDI,CONST,26777.03,1483439085546213.5,1.0,1.0,1483439085546213.5,0.0,0.0,0.0,0.0,1483439085546213.5,0.0,0.0,0.0,55399687177.63746
4493,2021,US,US,ELEC1,HOTEL,1534.66,1298480765691454.2,2.0,2.0,1298480713818699.8,0.0,0.0,0.0,51872754.613,1298480713818699.8,51872754.613,0.0,0.0,846103218752.9839
13318,2021,US,US,PFERT,PFERT,31853.24,1273960350516708.5,1.0,1.0,1273960350516708.5,0.0,0.0,0.0,0.0,1273960350516708.5,0.0,0.0,0.0,39994686584.99758
4740,2021,US,US,ELEC2,WHOLE,1791.47,1183491691301295.5,1.0,1.0,1183491691301295.5,0.0,0.0,0.0,0.0,1183491691301295.5,0.0,0.0,0.0,660626017349.6042
3506,2021,US,US,CRUDE,MACHI,9151.38,1159534379641791.2,2.0,2.0,1159529329693562.0,0.0,0.0,5049948229.293,0.0,1159529329693562.0,0.0,0.0,0.0,126705959062.10773
11197,2021,US,US,MOTOR,LANDT,16099.81,1142365313195060.2,1.0,1.0,1142365313195060.2,0.0,0.0,0.0,0.0,1142365313195060.2,0.0,0.0,0.0,70955204638.75414
3043,2021,US,US,CONST,CRUDE,9005.17,1139427444967149.8,2.0,2.0,1139427373146465.5,71820684.16,0.0,0.0,0.0,1139427373146465.5,0.0,0.0,71820684159.929,126530364775.6955
4626,2021,US,US,ELEC2,EDUCA,1677.59,1108255848446879.2,1.0,1.0,1108255848446879.2,0.0,0.0,0.0,0.0,1108255848446879.2,0.0,0.0,0.0,660623780808.7073
13245,2021,US,US,PFERT,CEREA,27218.42,1088592237275527.8,1.0,1.0,1088592237275527.8,0.0,0.0,0.0,0.0,1088592237275527.8,0.0,0.0,0.0,39994688790.73538
11238,2021,US,US,MOTOR,POSTT,15112.02,1072276931465477.2,1.0,1.0,1072276931465477.2,0.0,0.0,0.0,0.0,1072276931465477.2,0.0,0.0,0.0,70955235068.87082
3517,2021,US,US,CRUDE,NATU1,8152.18,1032929747832974.8,2.0,2.0,1032925249267134.4,0.0,0.0,4498565840.423,0.0,1032925249267134.4,0.0,0.0,0.0,126705954460.3989
4726,2021,US,US,ELEC2,SUPPO,1496.45,988589748962558.8,1.0,1.0,988589748962558.8,0.0,0.0,0.0,0.0,988589748962558.8,0.0,0.0,0.0,660623307803.5074
7664,2021,US,US,GASDI,EDUCA,17771.54,984537731907193.2,1.0,1.0,984537731907193.2,0.0,0.0,0.0,0.0,984537731907193.2,0.0,0.0,0.0,55399685784.52927
6251,2021,US,US,FINAN,RETA1,22394.89,921928821890870.0,1.0,1.0,921928821890870.0,0.0,0.0,0.0,0.0,921928821890870.0,0.0,0.0,0.0,41166927896.9832
3127,2021,US,US,CONST,POSTT,7139.76,903395534776626.8,2.0,2.0,903395477833566.8,56943060.009,0.0,0.0,0.0,903395477833566.8,0.0,0.0,56943060009.014,126530238380.08936
6208,2021,US,US,FINAN,MEMBE,20041.43,825044001510047.1,1.0,1.0,825044001510047.1,0.0,0.0,0.0,0.0,825044001510047.1,0.0,0.0,0.0,41166922794.932655
4136,2021,US,US,EDUCA,RETA1,6887.81,815046288122412.0,2.0,2.0,815046232654286.5,55468125.51,0.0,0.0,0.0,815046232654286.5,0.0,0.0,55468125509.955,118331703128.0497
273,2021,US,US,AIRTR,RESEA,3942.7,792274128028682.1,1.0,1.0,792274128028682.1,0.0,0.0,0.0,0.0,792274128028682.1,0.0,0.0,0.0,200947099203.2572
6279,2021,US,US,FINAN,WHOLE,18823.19,774892666845379.5,1.0,1.0,774892666845379.5,0.0,0.0,0.0,0.0,774892666845379.5,0.0,0.0,0.0,41166915217.1008
4584,2021,US,US,ELEC1,WHOLE,909.05,769149957547103.2,2.0,2.0,769149926820481.8,0.0,0.0,0.0,30726621.497,769149926820481.8,30726621.497,0.0,0.0,846103027938.0708
3142,2021,US,US,CONST,RETA1,5821.3,736571401075738.4,2.0,2.0,736571354647980.1,46427758.25,0.0,0.0,0.0,736571354647980.1,0.0,0.0,46427758249.602,126530397175.15646
13092,2021,US,US,PAPER,PRINT,6264.9,720736555430857.6,1.0,1.0,720736555430857.6,0.0,0.0,0.0,0.0,720736555430857.6,0.0,0.0,0.0,115043584962.3869
4471,2021,US,US,ELEC1,EDUCA,846.02,715824275760947.1,2.0,2.0,715824247164622.9,0.0,0.0,0.0,28596324.246,715824247164622.9,28596324.246,0.0,0.0,846107982980.2454
4622,2021,US,US,ELEC2,CRUDE,1070.21,707005528816006.1,1.0,1.0,707005528816006.1,0.0,0.0,0.0,0.0,707005528816006.1,0.0,0.0,0.0,660623175653.3822
6250,2021,US,US,FINAN,RESEA,16940.69,697395978054641.2,1.0,1.0,697395978054641.2,0.0,0.0,0.0,0.0,697395978054641.2,0.0,0.0,0.0,41166916935.180405
4647,2021,US,US,ELEC2,HEALT,1027.25,678624262574052.1,1.0,1.0,678624262574052.1,0.0,0.0,0.0,0.0,678624262574052.1,0.0,0.0,0.0,660622304769.0944
3102,2021,US,US,CONST,MOTOR,5302.94,670982352247575.9,2.0,2.0,670982309954043.5,42293532.432,0.0,0.0,0.0,670982309954043.5,0.0,0.0,42293532432.027,126530255339.0338
4713,2021,US,US,ELEC2,RESEA,990.07,654061766842309.4,1.0,1.0,654061766842309.4,0.0,0.0,0.0,0.0,654061766842309.4,0.0,0.0,0.0,660621740727.7357
