trade_id,year,region1,region2,industry1,industry2,amount,total_materials_value,materials_count,unique_materials_factors,natural_resource/in_ground,materials_Minerals,materials_Other_Materials,materials_intensity
14205,2021,US,US,PRECI,FABRI,28.79,5758546.109,1.0,1.0,5758546.109,5758546.109,5758546.109,200018.968704
3520,2021,US,US,CRUDE,NONF1,10.36,5716263.817,1.0,1.0,5716263.817,5716263.817,5716263.817,551762.916699
2325,2021,US,US,CEREA,FORES,13.71,5473954.533,1.0,1.0,5473954.533,5473954.533,5473954.533,399267.289059
11403,2021,US,US,NATUR,INTER,8.13,5427263.015,1.0,1.0,5427263.015,5427263.015,5427263.015,667560.026445
2380,2021,US,US,CEREA,RETAI,13.46,5371529.017,1.0,1.0,5371529.017,5371529.017,5371529.017,399073.478232
16803,2021,US,US,STONE,CHEM1,4.24,5364802.231,2.0,1.0,5364802.231,5364802.231,5364802.231,1265283.545047
3449,2021,US,US,CRUDE,CATTL,9.71,5360586.82,1.0,1.0,5360586.82,5360586.82,5360586.82,552068.673532
3458,2021,US,US,CRUDE,CONST,9.63,5311748.482,1.0,1.0,5311748.482,5311748.482,5311748.482,551583.435306
11388,2021,US,US,NATUR,FOOD4,7.41,4946302.557,1.0,1.0,4946302.557,4946302.557,4946302.557,667517.21417
11390,2021,US,US,NATUR,FOODW,7.35,4905165.82,1.0,1.0,4905165.82,4905165.82,4905165.82,667369.49932
3513,2021,US,US,CRUDE,MEMBE,8.86,4889514.5,1.0,1.0,4889514.5,4889514.5,4889514.5,551863.939052
3586,2021,US,US,CRUDE,WOOLS,8.83,4870979.675,1.0,1.0,4870979.675,4870979.675,4870979.675,551639.827293
11445,2021,US,US,NATUR,PLAS2,7.25,4838108.383,1.0,1.0,4838108.383,4838108.383,4838108.383,667325.294207
11380,2021,US,US,NATUR,ELECT,7.25,4836771.84,1.0,1.0,4836771.84,4836771.84,4836771.84,667140.943448
11398,2021,US,US,NATUR,HEAVY,7.12,4747869.613,1.0,1.0,4747869.613,4747869.613,4747869.613,666835.619803
11448,2021,US,US,NATUR,POULT,7.12,4747475.624,1.0,1.0,4747475.624,4747475.624,4747475.624,666780.28427
3479,2021,US,US,CRUDE,FOOD3,8.48,4681510.909,1.0,1.0,4681510.909,4681510.909,4681510.909,552064.965684
2033,2021,US,US,CATTL,PUBLI,5.23,4664686.763,2.0,1.0,4664686.763,4664686.763,4664686.763,891909.514914
11488,2021,US,US,NATUR,WOOD2,6.87,4581462.787,1.0,1.0,4581462.787,4581462.787,4581462.787,666879.590539
7381,2021,US,US,FORES,WHOLE,21.01,4440787.611,1.0,1.0,4440787.611,4440787.611,4440787.611,211365.426511
11435,2021,US,US,NATUR,PAPE1,6.6,4403464.806,1.0,1.0,4403464.806,4403464.806,4403464.806,667191.637273
3511,2021,US,US,CRUDE,MEATP,7.95,4384706.862,1.0,1.0,4384706.862,4384706.862,4384706.862,551535.45434
11423,2021,US,US,NATUR,MOTOR,6.54,4360086.774,1.0,1.0,4360086.774,4360086.774,4360086.774,666679.934862
