trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,material,water,CO2_total,Water_total,Employment_total,impact_intensity
3483,2022,IN,IN,ELEC1,VEGE1,6.05,6681259648150.755,1.0,1.0,6681259648150.755,0.0,0.0,0.0,6681259648150.755,0.0,0.0,1104340437710.8687
6415,2022,IN,IN,LANDT,LEAD1,62.77,6663986545896.659,3.0,3.0,6663982704465.044,3841431.615,0.0,0.0,6663982704465.044,0.0,3841431.615,106165151280.81343
1645,2022,IN,IN,CEMEN,GASDI,30.08,6639238327014.023,2.0,1.0,6639238327014.023,0.0,0.0,0.0,6639238327014.023,0.0,0.0,220719359275.73218
11312,2022,IN,IN,RUBBE,CERAM,29.0,6536576621551.489,2.0,2.0,6536576621551.489,0.0,0.0,0.0,6536576621551.489,0.0,0.0,225399193846.60312
3457,2022,IN,IN,ELEC1,PULP5,5.9,6511804568566.661,1.0,1.0,6511804568566.661,0.0,0.0,0.0,6511804568566.661,0.0,0.0,1103695689587.5696
3463,2022,IN,IN,ELEC1,REFI1,5.88,6489644819176.783,1.0,1.0,6489644819176.783,0.0,0.0,0.0,6489644819176.783,0.0,0.0,1103681091696.732
5267,2022,IN,IN,FURNI,ELEC4,33.25,6472344109154.106,2.0,2.0,6472344109154.106,0.0,0.0,0.0,6472344109154.106,0.0,0.0,194656965688.8453
3414,2022,IN,IN,ELEC1,KERO1,5.84,6439308722441.7,1.0,1.0,6439308722441.7,0.0,0.0,0.0,6439308722441.7,0.0,0.0,1102621356582.483
4990,2022,IN,IN,FOOD5,TOBAC,151.62,6394711673204.654,1.0,1.0,6394711673204.654,0.0,0.0,0.0,6394711673204.654,0.0,0.0,42175911312.52245
4971,2022,IN,IN,FOOD5,PROCE,151.03,6369646101448.37,1.0,1.0,6369646101448.37,0.0,0.0,0.0,6369646101448.37,0.0,0.0,42174707683.56201
3447,2022,IN,IN,ELEC1,PFERT,5.74,6334464557563.957,1.0,1.0,6334464557563.957,0.0,0.0,0.0,6334464557563.957,0.0,0.0,1103565253931.003
5312,2022,IN,IN,FURNI,NONME,32.21,6268554780823.576,2.0,2.0,6268554780823.576,0.0,0.0,0.0,6268554780823.576,0.0,0.0,194615174816.0067
6423,2022,IN,IN,LANDT,MEAT4,58.96,6259802172552.988,3.0,3.0,6259798564112.034,3608440.954,0.0,0.0,6259798564112.034,0.0,3608440.954,106170321786.8553
3388,2022,IN,IN,ELEC1,COPP1,5.63,6210639721871.947,1.0,1.0,6210639721871.947,0.0,0.0,0.0,6210639721871.947,0.0,0.0,1103133165518.996
811,2022,IN,IN,BASIC,WOODW,24.67,6191702254780.005,2.0,2.0,6191701632474.145,0.0,0.0,622305.86,6191701632474.145,622305.86,0.0,250981039918.11935
11361,2022,IN,IN,RUBBE,LIQUE,27.45,6186391135304.425,2.0,2.0,6186391135304.425,0.0,0.0,0.0,6186391135304.425,0.0,0.0,225369440266.09927
11390,2022,IN,IN,RUBBE,PLAST,26.38,5947036924149.792,2.0,2.0,5947036924149.792,0.0,0.0,0.0,5947036924149.792,0.0,0.0,225437336017.80865
5181,2022,IN,IN,FOUND,NONF1,55.62,5936780437195.661,1.0,1.0,5936780437195.661,0.0,0.0,0.0,5936780437195.661,0.0,0.0,106738231520.9576
5276,2022,IN,IN,FURNI,FOOD5,30.01,5841386172876.093,2.0,2.0,5841386172876.093,0.0,0.0,0.0,5841386172876.093,0.0,0.0,194647989765.94775
802,2022,IN,IN,BASIC,TEXTI,23.25,5835559812666.657,2.0,2.0,5835559226155.4,0.0,0.0,586511.257,5835559226155.4,586511.257,0.0,250991819899.64117
11389,2022,IN,IN,RUBBE,PLANT,25.54,5757344285989.366,2.0,2.0,5757344285989.366,0.0,0.0,0.0,5757344285989.366,0.0,0.0,225424600077.89218
5304,2022,IN,IN,FURNI,MOTO1,28.38,5524183236851.236,2.0,2.0,5524183236851.236,0.0,0.0,0.0,5524183236851.236,0.0,0.0,194650572123.0175
778,2022,IN,IN,BASIC,PFERT,21.95,5508704175005.378,2.0,2.0,5508703621345.213,0.0,0.0,553660.165,5508703621345.213,553660.165,0.0,250966021640.33612
