trade_id,year,region1,region2,industry1,industry2,amount,total_level,factor_count,unique_factors,air_emissions,employment,material,water,CO2_total,Water_total,Employment_total,impact_intensity
4101,2022,WM,WM,ELEC2,93197,266.81,122311624522744.11,2.0,2.0,122311610205307.4,0.0,0.0,14317436.706,122311610205307.4,14317436.706,0.0,458422190033.1476
16116,2022,WM,WM,SEACO,CRUDE,2439.87,119118929415827.48,1.0,1.0,119118929415827.48,0.0,0.0,0.0,119118929415827.48,0.0,0.0,48821834530.45756
4116,2022,WM,WM,ELEC2,CEMEN,258.52,118510531772071.53,2.0,2.0,118510517899579.48,0.0,0.0,13872492.04,118510517899579.48,13872492.04,0.0,458419200727.49316
139,2022,WM,WM,AIRTR,AIRTR,1499.3,117045799285142.69,1.0,1.0,117045799285142.69,0.0,0.0,0.0,117045799285142.69,0.0,0.0,78066964106.67824
4120,2022,WM,WM,ELEC2,CHEM1,244.41,112045186185638.52,2.0,2.0,112045173069960.69,0.0,0.0,13115677.825,112045173069960.69,13115677.825,0.0,458431267892.63336
6915,2022,WM,WM,FURNI,EDUCA,386.37,102699998360564.77,1.0,1.0,102699998360564.77,0.0,0.0,0.0,102699998360564.77,0.0,0.0,265807382458.69183
4142,2022,WM,WM,ELEC2,FABRI,213.01,97649686946024.28,2.0,2.0,97649675515440.98,0.0,0.0,11430583.296,97649675515440.98,11430583.296,0.0,458427712060.5806
4216,2022,WM,WM,ELEC2,RAILW,211.96,97169957129053.14,2.0,2.0,97169945754625.6,0.0,0.0,11374427.544,97169945754625.6,11374427.544,0.0,458435351618.4805
4183,2022,WM,WM,ELEC2,NATU1,210.88,96671368004498.77,2.0,2.0,96671356688434.6,0.0,0.0,11316064.177,96671356688434.6,11316064.177,0.0,458418854346.06775
4187,2022,WM,WM,ELEC2,NONME,207.71,95222279368425.02,2.0,2.0,95222268221986.86,0.0,0.0,11146438.151,95222268221986.86,11146438.151,0.0,458438589227.40845
4235,2022,WM,WM,ELEC2,SUPPO,206.43,94632828851618.03,2.0,2.0,94632817774179.22,0.0,0.0,11077438.818,94632817774179.22,11077438.818,0.0,458425756196.37665
4167,2022,WM,WM,ELEC2,KEROS,204.57,93779181667034.61,2.0,2.0,93779170689521.2,0.0,0.0,10977513.406,93779170689521.2,10977513.406,0.0,458420988742.409
4198,2022,WM,WM,ELEC2,PAPER,203.02,93068549260557.53,2.0,2.0,93068538366228.66,0.0,0.0,10894328.88,93068538366228.66,10894328.88,0.0,458420595313.553
