region,industry_code,direct_jobs,indirect_jobs,induced_jobs,total_output_impact,tax_revenue_impact
US-AZ,services,0,0.0,0.0,40765.718531160004,4891.8862237392
US-CA,services,0,0.0,0.0,489188.62237392005,58702.634684870405
US-FL,services,0,0.0,0.0,244594.31118696003,29351.317342435203
US-GA,services,0,0.0,0.0,122297.15559348001,14675.658671217601
US-IL,services,0,0.0,0.0,163062.87412464002,19567.5448949568
US-IN,services,0,0.0,0.0,40765.718531160004,4891.8862237392
US-MA,services,0,0.0,0.0,40765.718531160004,4891.8862237392
US-MD,services,0,0.0,0.0,40765.718531160004,4891.8862237392
US-MI,services,0,0.0,0.0,122297.15559348001,14675.658671217601
US-MO,services,0,0.0,0.0,40765.718531160004,4891.8862237392
US-NC,services,0,0.0,0.0,122297.15559348001,14675.658671217601
US-NJ,services,0,0.0,0.0,40765.718531160004,4891.8862237392
US-NY,services,0,0.0,0.0,97837.724474784,11740.52693697408
US-OH,services,0,0.0,0.0,97837.724474784,11740.52693697408
US-PA,services,0,0.0,0.0,163062.87412464002,19567.5448949568
US-TN,services,0,0.0,0.0,40765.718531160004,4891.8862237392
US-TX,services,0,0.0,0.0,366891.46678044,44026.9760136528
US-VA,services,0,0.0,0.0,40765.718531160004,4891.8862237392
US-WA,services,0,0.0,0.0,40765.718531160004,4891.8862237392
US-WI,services,0,0.0,0.0,40765.718531160004,4891.8862237392
